SiteCode,vegetation_present,invasives_present,disturbance_present,wildlife_present,flow_modification_present
CAMO_P_KID0300,0,0,1,0,1
CAMO_P_LEW0308,1,1,1,0,1
CAMO_P_QUA0302,1,1,1,1,1
DEVA_P_ANV0292,1,0,1,1,0
DEVA_P_ARR0137,1,1,1,1,1
DEVA_P_BEN0606,1,0,1,1,0
DEVA_P_BIG0819,1,1,1,1,0
DEVA_P_BOT0781,1,1,1,1,0
DEVA_P_BRI0274,1,1,1,1,0
DEVA_P_BUC0588,1,0,1,1,0
DEVA_P_BUC0994,1,1,1,1,0
DEVA_P_BUR0315,1,1,1,1,0
DEVA_P_BUS0232,1,1,0,1,0
DEVA_P_COR0991,1,0,1,1,0
DEVA_P_COT0794,1,0,1,1,0
DEVA_P_COW0160,1,1,1,1,1
DEVA_P_CUR0123,1,1,1,1,1
DEVA_P_DAR0526,1,0,1,1,0
DEVA_P_EAS0201,1,0,1,1,0
DEVA_P_FER0624,1,1,1,0,0
DEVA_P_FIV0002,1,0,1,1,0
DEVA_P_FLY0494,1,1,1,1,0
DEVA_P_GNO0081,1,0,1,1,0
DEVA_P_GRA0378,1,1,1,1,0
DEVA_P_GRE0191,1,1,1,1,1
DEVA_P_GRE0679,1,1,1,1,0
DEVA_P_GRU0291,1,1,1,1,0
DEVA_P_HAL0809,1,1,1,1,0
DEVA_P_HAW0358,1,0,1,1,0
DEVA_P_HOH0419,1,0,0,0,0
DEVA_P_HOL0706,1,1,1,1,1
DEVA_P_HUM0793,1,1,1,1,1
DEVA_P_HUN0486,1,1,1,1,1
DEVA_P_HUN0746,1,1,1,1,0
DEVA_P_JAC0129,1,1,1,1,0
DEVA_P_JAC0135,1,1,1,1,0
DEVA_P_JAC0189,1,1,0,1,0
DEVA_P_JAC0441,1,1,1,1,0
DEVA_P_JAC0512,1,0,1,1,1
DEVA_P_JAC0687,1,1,1,1,1
DEVA_P_JAC0770,1,1,1,0,0
DEVA_P_JAY0708,1,1,1,1,0
DEVA_P_KEA1037,1,0,1,1,0
DEVA_P_LAN0040,1,0,1,1,0
DEVA_P_LCM0255,1,1,1,1,0
DEVA_P_LIG0765,1,1,1,1,0
DEVA_P_LIT0005,1,1,1,1,0
DEVA_P_LOG0713,1,1,1,1,1
DEVA_P_LOS0228,1,0,1,1,0
DEVA_P_LOS0390,1,0,1,1,0
DEVA_P_MAI0406,1,0,1,1,0
DEVA_P_MAL0719,1,1,1,1,0
DEVA_P_MCD0281,1,1,1,1,1
DEVA_P_MCL0673,1,0,1,1,1
DEVA_P_MES0218,1,0,1,1,1
DEVA_P_MIL0084,1,1,0,1,0
DEVA_P_NAV0054,1,0,1,1,1
DEVA_P_NEE0438,1,1,1,1,0
DEVA_P_NEL0651,1,1,0,1,0
DEVA_P_NOG0740,1,1,1,1,0
DEVA_P_OWL0057,1,1,0,0,0
DEVA_P_PAN0418,1,1,1,1,0
DEVA_P_POP0642,1,1,1,1,0
DEVA_P_RAB0482,1,1,1,1,0
DEVA_P_SAL0168,1,0,1,1,0
DEVA_P_SAL0194,1,0,0,1,0
DEVA_P_SAN0298,1,0,1,1,0
DEVA_P_SCO0301,1,0,1,1,0
DEVA_P_SED1050,1,0,1,0,0
DEVA_P_SHR0202,1,0,1,1,0
DEVA_P_SIS0800,1,1,1,1,0
DEVA_P_SUR0633,1,1,1,1,1
DEVA_P_TJO0644,1,1,0,1,0
DEVA_P_TRI0099,1,0,1,0,0
DEVA_P_TWO0630,1,0,1,0,1
DEVA_P_VAL0380,1,0,0,1,0
DEVA_P_VIR0042,1,1,1,1,1
DEVA_P_WAG0635,1,1,1,1,0
DEVA_P_WAU0763,1,0,1,1,0
DEVA_P_WAU0880,1,1,1,1,1
DEVA_P_WHE0697,1,1,1,1,1
DEVA_P_WHI0701,1,1,1,1,0
DEVA_P_WIL0856,1,0,1,1,1
DEVA_P_WIN0167,1,1,1,1,0
JOTR_P_BAD0012,1,1,0,1,0
JOTR_P_BAR0128,1,1,1,1,0
JOTR_P_BLA0045,1,1,1,1,0
JOTR_P_BOL0226,1,1,1,1,0
JOTR_P_BUC0131,1,0,1,1,0
JOTR_P_BUR0015,1,1,1,0,1
JOTR_P_BUZ0084,1,1,1,1,0
JOTR_P_CHU0102,1,1,1,0,0
JOTR_P_CLO0250,1,1,1,1,0
JOTR_P_CON0215,1,1,1,1,1
JOTR_P_COT0136,1,0,1,1,0
JOTR_P_COT0235,1,1,1,1,0
JOTR_P_COT0294,1,1,1,1,0
JOTR_P_COY0033,1,1,1,1,0
JOTR_P_DIK0132,1,1,1,1,1
JOTR_P_DOV0291,1,0,1,1,0
JOTR_P_EAS0160,1,1,1,1,0
JOTR_P_FAN0259,1,1,1,1,0
JOTR_P_GAR0071,1,1,1,1,0
JOTR_P_GIB0086,1,1,1,1,1
JOTR_P_HAY0052,1,0,1,0,0
JOTR_P_HAY0287,1,0,1,1,1
JOTR_P_HOR0275,1,1,0,1,0
JOTR_P_IND0048,1,1,1,0,0
JOTR_P_LIT0207,1,1,1,1,0
JOTR_P_LON0148,1,1,1,1,0
JOTR_P_LON0223,1,1,1,1,0
JOTR_P_LOS0014,1,1,1,1,0
JOTR_P_MEE0191,1,1,1,1,0
JOTR_P_NOR0083,1,1,1,1,0
JOTR_P_NWC0178,1,0,1,0,0
JOTR_P_PEA0019,1,1,1,1,0
JOTR_P_PET0260,1,1,1,1,0
JOTR_P_PIN0216,1,1,1,1,0
JOTR_P_PUS0104,1,1,1,0,0
JOTR_P_QUE0109,1,1,1,1,0
JOTR_P_RAT0101,0,0,1,1,0
JOTR_P_RAT0238,1,0,1,0,0
JOTR_P_SAM0018,1,1,1,1,0
JOTR_P_SMO0029,1,1,1,0,0
JOTR_P_SPA0074,1,1,1,1,0
JOTR_P_STU0142,1,1,1,1,1
JOTR_P_TUN0233,1,1,1,1,1
JOTR_P_WES0155,1,1,1,1,0
JOTR_P_WES0255,1,1,1,1,0
JOTR_P_WIL0269,0,0,1,0,0
LAKE_P_ARI0003,1,1,0,1,0
LAKE_P_ARI0033,1,1,1,1,1
LAKE_P_ARI0043,1,1,1,1,1
LAKE_P_AZT0072,1,1,1,1,1
LAKE_P_BIG0045,1,1,1,1,0
LAKE_P_BLA0053,1,1,1,1,0
LAKE_P_BOY0004,1,1,1,0,1
LAKE_P_BRI0051,1,1,1,1,0
LAKE_P_BRI0063,1,1,0,1,0
LAKE_P_BUR0017,1,1,1,1,0
LAKE_P_COR0023,1,1,1,1,0
LAKE_P_COT0034,1,1,1,1,0
LAKE_P_COT0087,1,1,1,1,1
LAKE_P_DAW0052,1,1,1,1,0
LAKE_P_DIS0040,1,1,1,1,1
LAKE_P_DRI0002,1,1,1,1,1
LAKE_P_FER0090,1,1,1,1,0
LAKE_P_GET0066,1,1,1,1,0
LAKE_P_GNA0050,1,1,1,1,1
LAKE_P_GRA0048,1,1,1,1,0
LAKE_P_GRA0058,1,1,1,1,1
LAKE_P_GRA0082,1,0,1,1,0
LAKE_P_HOR0042,1,1,1,1,0
LAKE_P_HOT0065,1,1,1,1,1
LAKE_P_LAT0077,1,1,1,1,0
LAKE_P_LOS0009,1,1,1,1,0
LAKE_P_NEV0035,1,1,0,1,0
LAKE_P_PAL0047,1,1,1,1,1
LAKE_P_PIP0016,1,1,1,1,0
LAKE_P_PIP0049,1,1,1,1,0
LAKE_P_PUP0007,1,1,1,1,1
LAKE_P_RAT0056,1,1,1,1,0
LAKE_P_ROG0088,1,1,1,1,1
LAKE_P_SAC0028,1,0,1,1,1
LAKE_P_SAL0019,1,1,1,1,1
LAKE_P_SAL0060,1,1,0,1,1
LAKE_P_SAN0046,1,1,1,1,1
LAKE_P_SAU0022,1,1,1,1,1
LAKE_P_SCI0039,1,1,1,1,0
LAKE_P_SUG0011,1,1,1,1,1
LAKE_P_VAL0031,1,1,1,1,0
LAKE_P_WHI0030,1,0,1,1,0
LAKE_P_WIL0061,1,1,1,1,1
MOJA_P_ARR0003,1,0,0,0,0
MOJA_P_BAR0005,1,1,1,1,0
MOJA_P_BAR0006,1,1,1,1,1
